Elapsed time,ECG
10.000,0.049
10.005,0.183
10.010,0.035
10.015,-0.229
10.020,-0.387
10.025,-0.652
10.030,-0.850
10.035,-0.589
10.040,-0.191
10.045,-0.026
10.050,0.138
10.055,0.318
10.060,0.254
10.065,0.168
10.070,0.259
10.075,0.231
10.080,0.094
10.085,0.161
10.090,0.237
10.095,0.110
10.100,0.100
10.105,0.221
10.110,0.126
10.115,0.026
10.120,0.154
10.125,0.159
10.130,0.024
10.135,0.090
10.140,0.167
10.145,0.043
10.150,0.034
10.155,0.154
10.160,0.076
10.165,-0.011
10.170,0.099
10.175,0.092
10.180,-0.034
10.185,0.038
10.190,0.105
10.195,-0.032
10.200,-0.043
10.205,0.077
10.210,-0.004
10.215,-0.096
10.220,0.012
10.225,0.003
10.230,-0.129
10.235,-0.058
10.240,0.020
10.245,-0.107
10.250,-0.127
10.255,-0.013
10.260,-0.083
10.265,-0.166
10.270,-0.044
10.275,-0.034
10.280,-0.157
10.285,-0.079
10.290,0.010
10.295,-0.090
10.300,-0.067
10.305,0.079
10.310,0.030
10.315,-0.040
10.320,0.091
10.325,0.117
10.330,0.001
10.335,0.081
10.340,0.166
10.345,0.032
10.350,0.025
10.355,0.157
10.360,0.084
10.365,-0.007
10.370,0.111
10.375,0.120
10.380,-0.005
10.385,0.062
10.390,0.140
10.395,0.013
10.400,0.002
10.405,0.128
10.410,0.060
10.415,-0.031
10.420,0.075
10.425,0.082
10.430,-0.039
10.435,0.029
10.440,0.108
10.445,-0.020
10.450,-0.035
10.455,0.092
10.460,0.021
10.465,-0.070
10.470,0.048
10.475,0.060
10.480,-0.056
10.485,0.011
10.490,0.072
10.495,-0.060
10.500,-0.072
10.505,0.058
10.510,-0.002
10.515,-0.087
10.520,0.031
10.525,0.037
10.530,-0.097
10.535,-0.033
10.540,0.045
10.545,-0.073
10.550,-0.067
10.555,0.055
10.560,-0.030
10.565,-0.109
10.570,0.013
10.575,0.015
10.580,-0.109
10.585,-0.043
10.590,0.040
10.595,-0.069
10.600,-0.072
10.605,0.041
10.610,-0.034
10.615,-0.101
10.620,0.018
10.625,0.018
10.630,-0.100
10.635,-0.038
10.640,0.034
10.645,-0.079
10.650,-0.088
10.655,0.026
10.660,-0.047
10.665,-0.124
10.670,-0.006
10.675,-0.011
10.680,-0.140
10.685,-0.075
10.690,0.003
10.695,-0.115
10.700,-0.130
10.705,-0.012
10.710,-0.071
10.715,-0.126
10.720,0.020
10.725,0.046
10.730,-0.061
10.735,0.026
10.740,0.110
10.745,-0.009
10.750,-0.013
10.755,0.114
10.760,0.043
10.765,-0.038
10.770,0.090
10.775,0.105
10.780,-0.008
10.785,0.085
10.790,0.135
10.795,-0.110
10.800,-0.321
10.805,-0.444
10.810,-0.642
10.815,-0.611
10.820,-0.224
10.825,0.052
10.830,0.099
10.835,0.217
10.840,0.291
10.845,0.151
10.850,0.123
10.855,0.230
10.860,0.137
10.865,0.047
10.870,0.166
10.875,0.158
10.880,0.026
10.885,0.097
10.890,0.170
10.895,0.041
10.900,0.033
10.905,0.151
10.910,0.074
10.915,-0.003
10.920,0.116
10.925,0.086
10.930,-0.060
10.935,0.034
10.940,0.124
10.945,-0.008
10.950,-0.018
10.955,0.094
10.960,0.020
10.965,-0.053
10.970,0.055
10.975,0.048
10.980,-0.077
10.985,-0.005
10.990,0.072
10.995,-0.066
11.000,-0.084
11.005,0.035
11.010,-0.046
11.015,-0.137
11.020,-0.024
11.025,-0.025
11.030,-0.156
11.035,-0.092
11.040,-0.016
11.045,-0.137
11.050,-0.140
11.055,-0.009
11.060,-0.073
11.065,-0.138
11.070,0.006
11.075,0.030
11.080,-0.072
11.085,0.031
11.090,0.134
11.095,0.025
11.100,0.027
11.105,0.154
11.110,0.090
11.115,0.020
11.120,0.144
11.125,0.149
11.130,0.018
11.135,0.083
11.140,0.163
11.145,0.038
11.150,0.029
11.155,0.154
11.160,0.075
11.165,-0.015
11.170,0.110
11.175,0.115
11.180,-0.018
11.185,0.048
11.190,0.123
11.195,-0.001
11.200,-0.004
11.205,0.114
11.210,0.037
11.215,-0.044
11.220,0.071
11.225,0.077
11.230,-0.047
11.235,0.015
11.240,0.087
11.245,-0.041
11.250,-0.053
11.255,0.070
11.260,-0.007
11.265,-0.093
11.270,0.024
11.275,0.024
11.280,-0.098
11.285,-0.025
11.290,0.051
11.295,-0.070
11.300,-0.069
11.305,0.050
11.310,-0.030
11.315,-0.110
11.320,0.009
11.325,0.014
11.330,-0.105
11.335,-0.031
11.340,0.047
11.345,-0.076
11.350,-0.089
11.355,0.035
11.360,-0.025
11.365,-0.104
11.370,0.011
11.375,0.014
11.380,-0.114
11.385,-0.048
11.390,0.030
11.395,-0.090
11.400,-0.092
11.405,0.033
11.410,-0.044
11.415,-0.124
11.420,-0.007
11.425,-0.013
11.430,-0.154
11.435,-0.087
11.440,0.007
11.445,-0.114
11.450,-0.132
11.455,-0.005
11.460,-0.067
11.465,-0.128
11.470,0.017
11.475,0.045
11.480,-0.051
11.485,0.025
11.490,0.095
11.495,-0.021
11.500,-0.022
11.505,0.101
11.510,0.027
11.515,-0.044
11.520,0.085
11.525,0.094
11.530,0.004
11.535,0.083
11.540,0.069
11.545,-0.218
11.550,-0.440
11.555,-0.524
11.560,-0.629
11.565,-0.524
11.570,-0.147
11.575,0.075
11.580,0.081
11.585,0.184
11.590,0.259
11.595,0.135
11.600,0.114
11.605,0.215
11.610,0.123
11.615,0.036
11.620,0.164
11.625,0.166
11.630,0.036
11.635,0.108
11.640,0.168
11.645,0.031
11.650,0.037
11.655,0.159
11.660,0.078
11.665,-0.008
11.670,0.106
11.675,0.109
11.680,-0.022
11.685,0.044
11.690,0.119
11.695,-0.004
11.700,-0.006
11.705,0.113
11.710,0.032
11.715,-0.051
11.720,0.066
11.725,0.063
11.730,-0.070
11.735,-0.001
11.740,0.072
11.745,-0.059
11.750,-0.074
11.755,0.037
11.760,-0.043
11.765,-0.122
11.770,-0.006
11.775,-0.014
11.780,-0.148
11.785,-0.078
11.790,-0.002
11.795,-0.126
11.800,-0.123
11.805,0.008
11.810,-0.061
11.815,-0.130
11.820,0.012
11.825,0.039
11.830,-0.065
11.835,0.025
11.840,0.122
11.845,0.021
11.850,0.024
11.855,0.151
11.860,0.084
11.865,0.009
11.870,0.130
11.875,0.128
11.880,0.002
11.885,0.078
11.890,0.152
11.895,0.026
11.900,0.024
11.905,0.141
11.910,0.058
11.915,-0.020
11.920,0.104
11.925,0.101
11.930,-0.026
11.935,0.048
11.940,0.123
11.945,-0.006
11.950,-0.014
11.955,0.106
11.960,0.031
11.965,-0.049
11.970,0.068
11.975,0.070
11.980,-0.050
11.985,0.020
11.990,0.091
11.995,-0.032
12.000,-0.039
12.005,0.080
12.010,0.006
12.015,-0.072
12.020,0.045
12.025,0.044
12.030,-0.079
12.035,-0.005
12.040,0.069
12.045,-0.057
12.050,-0.060
12.055,0.059
12.060,-0.019
12.065,-0.095
12.070,0.027
12.075,0.030
12.080,-0.091
12.085,-0.022
12.090,0.044
12.095,-0.083
12.100,-0.086
12.105,0.037
12.110,-0.040
12.115,-0.125
12.120,0.000
12.125,0.006
12.130,-0.122
12.135,-0.053
12.140,0.010
12.145,-0.122
12.150,-0.122
12.155,-0.004
12.160,-0.084
12.165,-0.150
12.170,-0.017
12.175,-0.002
12.180,-0.101
12.185,-0.006
12.190,0.087
12.195,-0.022
12.200,-0.024
12.205,0.095
12.210,0.019
12.215,-0.052
12.220,0.075
12.225,0.071
12.230,-0.051
12.235,0.045
12.240,0.154
12.245,0.045
12.250,-0.013
12.255,-0.038
12.260,-0.345
12.265,-0.671
12.270,-0.652
12.275,-0.518
12.280,-0.386
12.285,-0.068
12.290,0.176
12.295,0.119
12.300,0.130
12.305,0.261
12.310,0.170
12.315,0.066
12.320,0.179
12.325,0.180
12.330,0.057
12.335,0.127
12.340,0.193
12.345,0.060
12.350,0.052
12.355,0.168
12.360,0.089
12.365,0.010
12.370,0.125
12.375,0.117
12.380,-0.008
12.385,0.068
12.390,0.138
12.395,0.008
12.400,0.002
12.405,0.117
12.410,0.039
12.415,-0.037
12.420,0.081
12.425,0.077
12.430,-0.049
12.435,0.015
12.440,0.079
12.445,-0.048
12.450,-0.053
12.455,0.060
12.460,-0.026
12.465,-0.111
12.470,0.003
12.475,-0.007
12.480,-0.137
12.485,-0.070
12.490,-0.003
12.495,-0.133
12.500,-0.139
12.505,-0.016
12.510,-0.088
12.515,-0.158
12.520,-0.025
12.525,-0.010
12.530,-0.115
12.535,-0.019
12.540,0.080
12.545,-0.021
12.550,-0.006
12.555,0.129
12.560,0.066
12.565,-0.001
12.570,0.124
12.575,0.125
12.580,0.008
12.585,0.084
12.590,0.153
12.595,0.026
12.600,0.023
12.605,0.138
12.610,0.059
12.615,-0.014
12.620,0.105
12.625,0.097
12.630,-0.029
12.635,0.048
12.640,0.121
12.645,-0.006
12.650,-0.007
12.655,0.111
12.660,0.032
12.665,-0.041
12.670,0.080
12.675,0.076
12.680,-0.049
12.685,0.026
12.690,0.099
12.695,-0.023
12.700,-0.022
12.705,0.092
12.710,0.008
12.715,-0.067
12.720,0.058
12.725,0.056
12.730,-0.067
12.735,0.013
12.740,0.082
12.745,-0.050
12.750,-0.050
12.755,0.069
12.760,-0.009
12.765,-0.081
12.770,0.035
12.775,0.031
12.780,-0.089
12.785,-0.015
12.790,0.056
12.795,-0.075
12.800,-0.081
12.805,0.039
12.810,-0.041
12.815,-0.120
12.820,0.002
12.825,0.003
12.830,-0.117
12.835,-0.046
12.840,0.012
12.845,-0.127
12.850,-0.129
12.855,-0.006
12.860,-0.091
12.865,-0.165
12.870,-0.025
12.875,-0.011
12.880,-0.115
12.885,-0.012
12.890,0.084
12.895,-0.029
12.900,-0.019
12.905,0.106
12.910,0.023
12.915,-0.054
12.920,0.072
12.925,0.069
12.930,-0.050
12.935,0.036
12.940,0.130
12.945,0.041
12.950,0.037
12.955,0.060
12.960,-0.210
12.965,-0.554
12.970,-0.662
12.975,-0.675
12.980,-0.575
12.985,-0.203
12.990,0.116
12.995,0.125
13.000,0.154
13.005,0.270
13.010,0.186
13.015,0.090
13.020,0.190
13.025,0.183
13.030,0.060
13.035,0.134
13.040,0.202
13.045,0.070
13.050,0.064
13.055,0.179
13.060,0.094
13.065,0.014
13.070,0.131
13.075,0.121
13.080,-0.005
13.085,0.070
13.090,0.139
13.095,0.012
13.100,0.007
13.105,0.120
13.110,0.036
13.115,-0.040
13.120,0.078
13.125,0.066
13.130,-0.060
13.135,0.015
13.140,0.080
13.145,-0.049
13.150,-0.053
13.155,0.059
13.160,-0.026
13.165,-0.107
13.170,0.009
13.175,-0.004
13.180,-0.138
13.185,-0.071
13.190,-0.004
13.195,-0.134
13.200,-0.139
13.205,-0.022
13.210,-0.099
13.215,-0.171
13.220,-0.040
13.225,-0.028
13.230,-0.130
13.235,-0.031
13.240,0.065
13.245,-0.031
13.250,-0.006
13.255,0.128
13.260,0.061
13.265,-0.001
13.270,0.130
13.275,0.128
13.280,0.009
13.285,0.090
13.290,0.164
