Elapsed time,ECG
0.000,-0.185
0.005,-0.294
0.010,-0.234
0.015,-0.094
0.020,-0.216
0.025,-0.344
0.030,-0.154
0.035,-0.145
0.040,-0.338
0.045,-0.235
0.050,-0.084
0.055,-0.172
0.060,-0.107
0.065,0.059
0.070,-0.062
0.075,-0.159
0.080,0.011
0.085,0.023
0.090,-0.106
0.095,0.043
0.100,0.155
0.105,-0.030
0.110,-0.023
0.115,0.163
0.120,0.067
0.125,-0.022
0.130,0.173
0.135,0.170
0.140,-0.015
0.145,0.093
0.150,0.203
0.155,0.038
0.160,0.051
0.165,0.231
0.170,0.129
0.175,0.022
0.180,0.189
0.185,0.182
0.190,0.010
0.195,0.125
0.200,0.230
0.205,0.047
0.210,0.044
0.215,0.214
0.220,0.101
0.225,-0.008
0.230,0.168
0.235,0.173
0.240,0.006
0.245,0.114
0.250,0.221
0.255,0.050
0.260,0.060
0.265,0.245
0.270,0.141
0.275,0.036
0.280,0.217
0.285,0.223
0.290,0.045
0.295,0.150
0.300,0.263
0.305,0.090
0.310,0.098
0.315,0.277
0.320,0.160
0.325,0.049
0.330,0.228
0.335,0.222
0.340,0.036
0.345,0.144
0.350,0.251
0.355,0.067
0.360,0.061
0.365,0.230
0.370,0.107
0.375,-0.012
0.380,0.160
0.385,0.143
0.390,-0.059
0.395,0.027
0.400,0.114
0.405,-0.077
0.410,-0.085
0.415,0.081
0.420,-0.043
0.425,-0.172
0.430,-0.018
0.435,-0.032
0.440,-0.209
0.445,-0.090
0.450,0.034
0.455,-0.141
0.460,-0.136
0.465,0.065
0.470,-0.038
0.475,-0.156
0.480,0.035
0.485,0.054
0.490,-0.121
0.495,-0.009
0.500,0.105
0.505,-0.067
0.510,-0.061
0.515,0.123
0.520,0.017
0.525,-0.098
0.530,0.076
0.535,0.083
0.540,-0.103
0.545,-0.006
0.550,0.110
0.555,-0.077
0.560,-0.092
0.565,0.100
0.570,-0.002
0.575,-0.190
0.580,-0.244
0.585,-0.602
0.590,-1.133
0.595,-1.143
0.600,-0.756
0.605,-0.452
0.610,-0.063
0.615,0.389
0.620,0.421
0.625,0.270
0.630,0.365
0.635,0.311
0.640,0.074
0.645,0.138
0.650,0.219
0.655,0.014
0.660,-0.013
0.665,0.147
0.670,0.033
0.675,-0.084
0.680,0.078
0.685,0.080
0.690,-0.099
0.695,-0.006
0.700,0.102
0.705,-0.062
0.710,-0.071
0.715,0.090
0.720,-0.015
0.725,-0.133
0.730,0.020
0.735,0.022
0.740,-0.147
0.745,-0.053
0.750,0.041
0.755,-0.135
0.760,-0.140
0.765,0.026
0.770,-0.090
0.775,-0.209
0.780,-0.043
0.785,-0.047
0.790,-0.227
0.795,-0.132
0.800,-0.040
0.805,-0.223
0.810,-0.231
0.815,-0.064
0.820,-0.166
0.825,-0.274
0.830,-0.108
0.835,-0.100
0.840,-0.264
0.845,-0.158
0.850,-0.040
0.855,-0.195
0.860,-0.188
0.865,0.004
0.870,-0.079
0.875,-0.171
0.880,0.037
0.885,0.079
0.890,-0.080
0.895,0.036
0.900,0.172
0.905,0.030
0.910,0.045
0.915,0.248
0.920,0.167
0.925,0.054
0.930,0.221
0.935,0.231
0.940,0.059
0.945,0.160
0.950,0.272
0.955,0.093
0.960,0.081
0.965,0.257
0.970,0.145
0.975,0.015
0.980,0.185
0.985,0.195
0.990,0.006
0.995,0.099
1.000,0.214
1.005,0.031
1.010,0.005
1.015,0.180
1.020,0.076
1.025,-0.055
1.030,0.120
1.035,0.140
1.040,-0.047
1.045,0.044
1.050,0.157
1.055,-0.024
1.060,-0.039
1.065,0.145
1.070,0.044
1.075,-0.084
1.080,0.091
1.085,0.110
1.090,-0.079
1.095,0.007
1.100,0.121
1.105,-0.044
1.110,-0.053
1.115,0.113
1.120,0.005
1.125,-0.112
1.130,0.061
1.135,0.075
1.140,-0.114
1.145,-0.021
1.150,0.114
1.155,-0.054
1.160,-0.084
1.165,0.097
1.170,0.008
1.175,-0.114
1.180,0.056
1.185,0.059
1.190,-0.133
1.195,-0.039
1.200,0.071
1.205,-0.116
1.210,-0.140
1.215,0.038
1.220,-0.056
1.225,-0.168
1.230,-0.003
1.235,-0.018
1.240,-0.201
1.245,-0.081
1.250,0.057
1.255,-0.099
1.260,-0.106
1.265,0.078
1.270,0.002
1.275,-0.103
1.280,0.059
1.285,0.087
1.290,-0.071
1.295,0.019
1.300,0.138
1.305,-0.042
1.310,-0.076
1.315,0.125
1.320,0.043
1.325,-0.117
1.330,0.036
1.335,0.073
1.340,-0.117
1.345,-0.043
1.350,0.103
1.355,-0.066
1.360,-0.105
1.365,0.116
1.370,0.036
1.375,-0.200
1.380,-0.274
1.385,-0.599
1.390,-1.145
1.395,-1.261
1.400,-0.928
1.405,-0.582
1.410,-0.178
1.415,0.331
1.420,0.483
1.425,0.349
1.430,0.402
1.435,0.371
1.440,0.154
1.445,0.214
1.450,0.328
1.455,0.106
1.460,0.016
1.465,0.196
1.470,0.107
1.475,-0.041
1.480,0.125
1.485,0.148
1.490,-0.050
1.495,0.038
1.500,0.163
1.505,-0.028
1.510,-0.066
1.515,0.119
1.520,0.020
1.525,-0.112
